Trainer,Alder,Benga,Bianca,Blaine,Blue,Brawly,Brock,Brycen,Bugsy,Burgh,Byron,Caitlin,Candice,Cheren,Cheren_Fire,Cheren_Grass,Cheren_Water,Chili,Chuck,Cilan,Clair,Clay,Colress,Cress,Cynthia,Drayden,Elesa,Erika,Falkner,Fantina,Flannery,Gardenia,Giovanni,Grimsley,Hugh_Fire,Hugh_Grass,Hugh_Water,Iris,Janine,Jasmine,Juan,Lance,Lenora,Liza,Lt.Surge,Marlon,Marshal,Maylene,Misty,Morimoto,Morty,N_Autumn,N_Spring,N_Summer,N_Winter,Nishino,Norman,Pryce,Red,Roark,Roxanne,Roxie,Sabrina,Shauntal,Skyla,Steven,Tate,Volkner,Wake,Wallace,Wattson,Whitney,Winona
Elesa,23,85,96,60,88,79,54,94,91,93,82,98,78,92,90,91,86,98,98,100,65,25,98,70,39,37,0,82,38,17,55,95,18,62,49,74,56,51,31,28,16,15,100,95,61,56,89,100,3,100,6,22,4,96,68,67,54,47,65,85,68,60,68,2,68,100,100,77,23,42,78,84,98
Erika,3,4,59,34,52,47,80,65,11,4,80,45,57,82,31,34,45,41,73,80,36,43,51,77,10,25,18,0,38,92,22,34,20,6,17,13,7,24,2,49,91,12,55,59,58,92,28,83,43,61,20,55,93,25,40,39,36,69,36,99,96,12,20,1,46,87,89,79,100,92,31,79,65
Falkner,31,13,28,39,71,52,42,45,97,87,27,66,41,3,15,27,15,75,100,91,54,68,98,28,81,65,62,62,0,42,64,91,79,24,26,52,45,71,46,49,42,30,24,89,73,47,100,93,24,83,27,12,5,57,62,44,11,30,36,55,80,35,49,27,22,84,91,65,82,7,55,27,85
Fantina,11,10,41,71,49,99,20,5,31,29,64,100,11,0,86,88,89,80,91,45,45,9,89,53,47,36,83,8,58,0,37,30,57,0,56,64,39,24,3,47,14,1,35,64,46,23,100,100,2,41,14,38,27,66,43,2,21,10,40,87,40,7,46,20,11,65,76,80,43,22,28,9,63
Flannery,8,52,59,55,26,31,2,97,72,79,80,97,82,80,29,54,47,70,27,80,1,1,86,3,41,19,45,78,36,63,0,36,0,46,29,47,32,38,26,25,24,0,90,92,64,32,13,88,6,81,51,5,30,95,80,6,74,61,45,57,53,93,27,3,11,65,69,92,81,8,56,63,21
Gardenia,29,1,63,37,62,58,95,46,12,14,95,100,15,45,51,64,44,74,53,90,27,73,90,85,21,38,5,66,9,70,64,0,55,42,43,41,27,36,2,24,94,7,30,28,16,70,41,59,23,74,19,79,77,58,17,30,19,24,13,99,100,9,21,11,4,89,88,54,96,65,40,69,14
Giovanni,80,84,39,97,46,66,67,66,96,91,99,86,74,94,84,87,48,100,70,55,84,58,78,7,13,90,82,80,21,43,100,45,0,99,55,62,46,38,2,79,28,76,66,73,82,23,86,78,8,87,3,92,22,89,72,22,90,63,24,86,95,81,9,9,20,77,98,98,48,15,92,100,60
Grimsley,35,69,54,48,39,32,52,89,44,54,92,99,76,61,74,88,68,45,37,100,62,20,100,35,59,42,38,94,76,100,54,58,1,0,66,77,70,46,16,22,81,18,71,100,51,81,5,65,54,100,62,33,71,94,84,55,49,93,57,75,89,70,83,68,36,79,97,86,73,39,63,62,99
Hugh_Fire,23,46,61,54,64,23,70,87,90,84,95,89,63,38,41,72,62,94,23,67,38,27,92,36,33,44,51,83,74,44,71,57,45,34,0,86,63,37,20,28,46,13,77,100,65,55,5,27,11,98,36,32,15,99,45,22,50,58,58,82,86,87,79,2,46,98,96,90,62,16,60,68,92
Hugh_Grass,7,34,31,47,60,13,64,71,86,57,82,84,55,19,23,63,54,80,12,78,44,19,89,25,19,14,26,87,48,36,53,59,38,23,14,0,29,15,9,17,54,9,58,91,27,51,2,25,2,96,21,42,9,98,41,18,17,35,40,85,81,60,42,3,32,94,91,75,66,14,39,16,79
Hugh_Water,16,41,35,54,64,19,71,61,86,49,94,87,44,32,51,61,75,85,14,70,58,35,90,52,12,56,44,93,55,61,68,73,54,30,37,71,0,36,9,18,65,29,60,92,41,66,5,25,12,94,18,51,11,98,40,38,22,43,33,92,88,67,65,2,26,96,96,81,56,39,56,7,86
Iris,12,28,72,87,42,50,79,32,88,70,80,81,43,29,63,69,78,98,71,55,53,50,78,48,16,81,49,76,29,76,62,64,62,54,63,85,64,0,21,56,16,24,42,90,61,52,77,46,3,74,11,62,32,100,74,26,47,34,25,65,89,76,28,0,15,84,80,69,36,54,71,21,88
